No	Time	DC/AC	Value	Unit	AUTO
381	16:31:39	DC	00,12	mA	pass
382	16:31:39	DC	00,11	mA	pass
383	16:31:40	DC	00,58	mA	pass
384	16:31:40	DC	00,12	mA	pass
385	16:31:41	DC	00,12	mA	pass
386	16:31:42	DC	00,12	mA	pass
387	16:31:42	DC	00,12	mA	pass
388	16:31:43	DC	00,12	mA	pass
389	16:31:43	DC	00,12	mA	pass
390	16:31:44	DC	00,12	mA	pass
391	16:31:44	DC	00,58	mA	pass
392	16:31:45	DC	00,12	mA	pass
393	16:31:46	DC	00,12	mA	pass
394	16:31:46	DC	00,11	mA	pass
395	16:31:47	DC	00,11	mA	pass
396	16:31:47	DC	00,12	mA	pass
397	16:31:48	DC	00,12	mA	pass
398	16:31:48	DC	00,12	mA	pass
399	16:31:49	DC	00,12	mA	pass
400	16:31:50	DC	00,11	mA	pass
401	16:31:50	DC	00,11	mA	pass
402	16:31:51	DC	00,59	mA	pass
403	16:31:51	DC	00,12	mA	pass
404	16:31:52	DC	00,11	mA	pass
405	16:31:53	DC	00,11	mA	pass
406	16:31:53	DC	00,60	mA	pass
407	16:31:54	DC	00,11	mA	pass
408	16:31:54	DC	00,11	mA	pass
409	16:31:55	DC	00,11	mA	pass
410	16:31:55	DC	00,12	mA	pass
411	16:31:56	DC	00,12	mA	pass
412	16:31:57	DC	00,12	mA	pass
413	16:31:57	DC	00,12	mA	pass
414	16:31:58	DC	00,12	mA	pass
415	16:31:58	DC	00,12	mA	pass
416	16:31:59	DC	00,12	mA	pass
417	16:32:00	DC	00,12	mA	pass
418	16:32:00	DC	00,12	mA	pass
419	16:32:01	DC	00,11	mA	pass
420	16:32:01	DC	00,59	mA	pass
421	16:32:02	DC	00,32	mA	pass
422	16:32:02	DC	00,12	mA	pass
423	16:32:03	DC	00,12	mA	pass
424	16:32:04	DC	00,12	mA	pass
425	16:32:04	DC	00,12	mA	pass
426	16:32:05	DC	00,12	mA	pass
427	16:32:05	DC	00,12	mA	pass
428	16:32:06	DC	00,12	mA	pass
429	16:32:07	DC	00,12	mA	pass
430	16:32:07	DC	00,12	mA	pass
431	16:32:08	DC	00,12	mA	pass
432	16:32:08	DC	00,61	mA	pass
433	16:32:09	DC	00,12	mA	pass
434	16:32:09	DC	00,12	mA	pass
435	16:32:10	DC	00,12	mA	pass
436	16:32:11	DC	00,12	mA	pass
437	16:32:11	DC	00,12	mA	pass
438	16:32:12	DC	00,12	mA	pass
439	16:32:12	DC	00,12	mA	pass
440	16:32:13	DC	00,12	mA	pass
441	16:32:13	DC	00,12	mA	pass
442	16:32:14	DC	00,12	mA	pass
443	16:32:15	DC	00,12	mA	pass
444	16:32:15	DC	00,12	mA	pass
445	16:32:16	DC	00,12	mA	pass
446	16:32:16	DC	00,12	mA	pass
447	16:32:17	DC	00,24	mA	pass
448	16:32:17	DC	00,12	mA	pass
449	16:32:18	DC	00,47	mA	pass
450	16:32:19	DC	00,12	mA	pass
451	16:32:19	DC	00,12	mA	pass
452	16:32:20	DC	00,12	mA	pass
453	16:32:20	DC	00,12	mA	pass
454	16:32:21	DC	00,12	mA	pass
455	16:32:22	DC	00,12	mA	pass
456	16:32:22	DC	00,12	mA	pass
457	16:32:23	DC	00,12	mA	pass
458	16:32:23	DC	00,12	mA	pass
459	16:32:24	DC	00,12	mA	pass
460	16:32:24	DC	00,59	mA	pass
461	16:32:25	DC	00,12	mA	pass
462	16:32:26	DC	00,12	mA	pass
463	16:32:26	DC	00,12	mA	pass
464	16:32:27	DC	00,60	mA	pass
465	16:32:27	DC	00,13	mA	pass
466	16:32:28	DC	00,12	mA	pass
467	16:32:29	DC	00,11	mA	pass
468	16:32:29	DC	00,13	mA	pass
469	16:32:30	DC	00,14	mA	pass
470	16:32:30	DC	00,13	mA	pass
471	16:32:31	DC	00,12	mA	pass
472	16:32:32	DC	00,12	mA	pass
473	16:32:32	DC	00,11	mA	pass
474	16:32:33	DC	00,11	mA	pass
475	16:32:33	DC	00,60	mA	pass
476	16:32:34	DC	00,12	mA	pass
477	16:32:34	DC	00,12	mA	pass
478	16:32:35	DC	00,12	mA	pass
479	16:32:36	DC	00,11	mA	pass
480	16:32:36	DC	00,11	mA	pass
481	16:32:37	DC	00,11	mA	pass
482	16:32:37	DC	00,12	mA	pass
483	16:32:38	DC	00,12	mA	pass
484	16:32:38	DC	00,12	mA	pass
485	16:32:39	DC	00,12	mA	pass
486	16:32:40	DC	00,12	mA	pass
487	16:32:40	DC	00,12	mA	pass
488	16:32:41	DC	00,12	mA	pass
489	16:32:41	DC	00,12	mA	pass
490	16:32:42	DC	00,12	mA	pass
491	16:32:43	DC	00,11	mA	pass
492	16:32:43	DC	00,12	mA	pass
493	16:32:44	DC	00,12	mA	pass
494	16:32:44	DC	00,12	mA	pass
495	16:32:45	DC	00,12	mA	pass
496	16:32:45	DC	00,12	mA	pass
497	16:32:46	DC	00,11	mA	pass
498	16:32:47	DC	00,57	mA	pass
499	16:32:47	DC	00,12	mA	pass
500	16:32:48	DC	00,12	mA	pass
501	16:32:48	DC	00,11	mA	pass
502	16:32:49	DC	00,11	mA	pass
503	16:32:49	DC	00,12	mA	pass
504	16:32:50	DC	00,11	mA	pass
505	16:32:51	DC	00,11	mA	pass
506	16:32:51	DC	00,11	mA	pass
507	16:32:52	DC	00,12	mA	pass
508	16:32:52	DC	00,11	mA	pass
509	16:32:53	DC	00,59	mA	pass
510	16:32:53	DC	00,11	mA	pass
511	16:32:54	DC	00,11	mA	pass
512	16:32:55	DC	00,12	mA	pass
513	16:32:55	DC	00,58	mA	pass
514	16:32:56	DC	00,11	mA	pass
515	16:32:56	DC	00,11	mA	pass
516	16:32:57	DC	00,11	mA	pass
517	16:32:58	DC	00,12	mA	pass
518	16:32:58	DC	00,12	mA	pass
519	16:32:59	DC	00,12	mA	pass
520	16:32:59	DC	00,12	mA	pass
521	16:33:00	DC	00,11	mA	pass
522	16:33:01	DC	00,11	mA	pass
523	16:33:01	DC	00,12	mA	pass
524	16:33:02	DC	00,59	mA	pass
525	16:33:02	DC	00,12	mA	pass
526	16:33:03	DC	00,12	mA	pass
527	16:33:04	DC	00,12	mA	pass
528	16:33:04	DC	00,58	mA	pass
529	16:33:05	DC	00,12	mA	pass
530	16:33:05	DC	00,12	mA	pass
531	16:33:06	DC	00,11	mA	pass
532	16:33:06	DC	00,11	mA	pass
533	16:33:07	DC	00,11	mA	pass
534	16:33:08	DC	00,11	mA	pass
535	16:33:08	DC	00,12	mA	pass
536	16:33:09	DC	00,12	mA	pass
537	16:33:09	DC	00,12	mA	pass
538	16:33:10	DC	00,12	mA	pass
539	16:33:10	DC	00,12	mA	pass
540	16:33:11	DC	00,11	mA	pass
541	16:33:12	DC	00,59	mA	pass
542	16:33:12	DC	00,12	mA	pass
543	16:33:13	DC	00,12	mA	pass
544	16:33:13	DC	00,12	mA	pass
545	16:33:14	DC	00,11	mA	pass
546	16:33:15	DC	00,11	mA	pass
547	16:33:15	DC	00,11	mA	pass
548	16:33:16	DC	00,11	mA	pass
549	16:33:16	DC	00,11	mA	pass
550	16:33:17	DC	00,43	mA	pass
551	16:33:17	DC	00,12	mA	pass
552	16:33:18	DC	00,11	mA	pass
553	16:33:19	DC	00,11	mA	pass
554	16:33:19	DC	00,12	mA	pass
555	16:33:20	DC	00,12	mA	pass
556	16:33:20	DC	00,12	mA	pass
557	16:33:21	DC	00,13	mA	pass
558	16:33:21	DC	00,12	mA	pass
559	16:33:22	DC	00,11	mA	pass
560	16:33:23	DC	00,12	mA	pass
561	16:33:23	DC	00,11	mA	pass
562	16:33:24	DC	00,11	mA	pass
563	16:33:24	DC	00,12	mA	pass
564	16:33:25	DC	00,12	mA	pass
565	16:33:26	DC	00,59	mA	pass
566	16:33:26	DC	00,13	mA	pass
567	16:33:27	DC	00,33	mA	pass
568	16:33:27	DC	00,12	mA	pass
569	16:33:28	DC	00,12	mA	pass
570	16:33:28	DC	00,12	mA	pass
571	16:33:29	DC	00,58	mA	pass
572	16:33:30	DC	00,13	mA	pass
573	16:33:30	DC	00,12	mA	pass
574	16:33:31	DC	00,12	mA	pass
575	16:33:31	DC	00,12	mA	pass
576	16:33:32	DC	00,12	mA	pass
577	16:33:33	DC	00,12	mA	pass
578	16:33:33	DC	00,11	mA	pass
579	16:33:34	DC	00,11	mA	pass
580	16:33:34	DC	00,12	mA	pass
581	16:33:35	DC	00,12	mA	pass
582	16:33:35	DC	00,58	mA	pass
583	16:33:36	DC	10,12	mA	pass
584	16:33:37	DC	41,73	mA	pass
585	16:33:37	DC	20,36	mA	pass
586	16:33:38	DC	24,16	mA	pass
587	16:33:38	DC	20,03	mA	pass
588	16:33:39	DC	00,19	mA	pass
589	16:33:40	DC	09,28	mA	pass
590	16:33:40	DC	00,15	mA	pass
591	16:33:41	DC	01,06	mA	pass
592	16:33:41	DC	05,38	mA	pass
593	16:33:42	DC	23,07	mA	pass
594	16:33:42	DC	39,79	mA	pass
595	16:33:43	DC	10,59	mA	pass
596	16:33:44	DC	15,45	mA	pass
597	16:33:44	DC	00,15	mA	pass
598	16:33:45	DC	00,25	mA	pass
599	16:33:45	DC	00,66	mA	pass
600	16:33:46	DC	12,03	mA	pass
601	16:33:46	DC	24,12	mA	pass
602	16:33:47	DC	06,54	mA	pass
603	16:33:48	DC	44,30	mA	pass
604	16:33:48	DC	00,15	mA	pass
605	16:33:49	DC	00,17	mA	pass
606	16:33:49	DC	04,82	mA	pass
607	16:33:50	DC	25,13	mA	pass
608	16:33:50	DC	22,74	mA	pass
609	16:33:51	DC	11,65	mA	pass
610	16:33:52	DC	00,16	mA	pass
611	16:33:52	DC	00,18	mA	pass
612	16:33:53	DC	00,35	mA	pass
613	16:33:53	DC	02,96	mA	pass
614	16:33:54	DC	11,47	mA	pass
615	16:33:54	DC	24,73	mA	pass
616	16:33:55	DC	09,57	mA	pass
617	16:33:56	DC	21,62	mA	pass
618	16:33:56	DC	00,15	mA	pass
619	16:33:57	DC	00,25	mA	pass
620	16:33:57	DC	04,29	mA	pass
621	16:33:58	DC	28,33	mA	pass
622	16:33:59	DC	08,15	mA	pass
623	16:33:59	DC	00,16	mA	pass
624	16:34:00	DC	00,15	mA	pass
625	16:34:00	DC	01,00	mA	pass
626	16:34:01	DC	05,18	mA	pass
627	16:34:02	DC	25,16	mA	pass
628	16:34:02	DC	13,30	mA	pass
629	16:34:03	DC	01,39	mA	pass
630	16:34:03	DC	13,51	mA	pass
631	16:34:04	DC	00,25	mA	pass
632	16:34:04	DC	02,12	mA	pass
633	16:34:05	DC	10,00	mA	pass
634	16:34:06	DC	21,91	mA	pass
635	16:34:06	DC	00,89	mA	pass
636	16:34:07	DC	00,15	mA	pass
637	16:34:07	DC	00,15	mA	pass
638	16:34:08	DC	00,15	mA	pass
639	16:34:09	DC	42,02	mA	pass
640	16:34:09	DC	02,01	mA	pass
641	16:34:10	DC	19,80	mA	pass
642	16:34:10	DC	37,03	mA	pass
643	16:34:11	DC	44,59	mA	pass
644	16:34:11	DC	05,79	mA	pass
645	16:34:12	DC	00,15	mA	pass
646	16:34:13	DC	00,15	mA	pass
647	16:34:13	DC	00,15	mA	pass
648	16:34:14	DC	01,85	mA	pass
649	16:34:14	DC	19,55	mA	pass
650	16:34:15	DC	40,85	mA	pass
651	16:34:15	DC	01,35	mA	pass
652	16:34:16	DC	24,19	mA	pass
653	16:34:17	DC	00,15	mA	pass
654	16:34:17	DC	00,15	mA	pass
655	16:34:18	DC	03,24	mA	pass
656	16:34:19	DC	13,97	mA	pass
657	16:34:19	DC	19,82	mA	pass
658	16:34:20	DC	04,72	mA	pass
659	16:34:20	DC	00,15	mA	pass
660	16:34:21	DC	00,15	mA	pass
661	16:34:21	DC	00,34	mA	pass
662	16:34:22	DC	00,15	mA	pass
