,meas0,meas1,meas2,meas3,meas4,meas5,meas6,meas7,meas8
157,1248.0,1408.0,1088.0,1088.0,1248.0,1328.0,1088.0,1248.0,1328.0
158,1088.0,1488.0,2320.0,912.0,1328.0,1328.0,1088.0,1248.0,1328.0
159,1168.0,1328.0,2640.0,1008.0,1248.0,1248.0,1088.0,1168.0,1248.0
160,1088.0,1248.0,2736.0,1248.0,1328.0,1328.0,1008.0,1088.0,1248.0
161,1248.0,1248.0,1664.0,1328.0,1408.0,1248.0,1008.0,1248.0,1168.0
162,1584.0,1328.0,1008.0,1248.0,1408.0,1168.0,1488.0,1328.0,1088.0
163,1328.0,1408.0,1088.0,1168.0,1488.0,1248.0,1328.0,1488.0,1088.0
164,1248.0,1408.0,1248.0,1168.0,1744.0,1248.0,1248.0,1328.0,1088.0
165,1248.0,1408.0,1248.0,1168.0,2400.0,1248.0,1168.0,1248.0,1248.0
166,1088.0,1744.0,912.0,1408.0,2640.0,1248.0,1088.0,1168.0,1248.0
167,1088.0,2400.0,1088.0,1328.0,2560.0,1248.0,1088.0,1168.0,1168.0
168,1088.0,2640.0,1008.0,1328.0,1664.0,1248.0,1088.0,1168.0,1088.0
169,1248.0,1744.0,1008.0,1248.0,1408.0,1248.0,1168.0,1248.0,1088.0
170,1328.0,1488.0,1248.0,1168.0,1408.0,1168.0,1008.0,1248.0,1088.0
171,1328.0,1328.0,1088.0,1168.0,1408.0,1088.0,1168.0,1248.0,1088.0
172,1248.0,1248.0,1088.0,1248.0,1328.0,1008.0,1168.0,1168.0,1168.0
173,1248.0,1168.0,1088.0,1168.0,1248.0,1088.0,1088.0,1328.0,1168.0
174,1168.0,1328.0,1168.0,1088.0,1328.0,1088.0,1168.0,1408.0,1168.0
175,1088.0,1328.0,1248.0,1248.0,1408.0,1248.0,1328.0,1248.0,1168.0
176,1008.0,1408.0,1248.0,1248.0,1328.0,1168.0,1248.0,1088.0,1088.0
177,1008.0,1328.0,1248.0,912.0,1328.0,1168.0,1168.0,1248.0,1008.0
178,1248.0,1488.0,1408.0,1088.0,1248.0,1248.0,1168.0,1248.0,1088.0
179,1088.0,1408.0,1248.0,1168.0,1248.0,1328.0,1248.0,1248.0,1168.0
180,1008.0,1328.0,1248.0,1008.0,1248.0,1248.0,1168.0,1168.0,1088.0
181,1088.0,1328.0,1168.0,1088.0,1248.0,1248.0,1168.0,1168.0,1088.0
182,1168.0,1408.0,1248.0,1168.0,1408.0,1328.0,1168.0,1328.0,1168.0
183,1248.0,1328.0,1088.0,1328.0,1408.0,1248.0,1168.0,1248.0,1168.0
184,1248.0,1328.0,1248.0,1168.0,1408.0,1328.0,1088.0,1168.0,1168.0
185,1168.0,1328.0,1168.0,1168.0,1408.0,1328.0,1088.0,1168.0,1088.0
186,1088.0,1408.0,1168.0,1088.0,1328.0,1168.0,1088.0,1248.0,1008.0
187,1248.0,1328.0,1088.0,1248.0,1328.0,1248.0,1088.0,1168.0,1088.0
188,1168.0,1248.0,1248.0,1248.0,1408.0,1248.0,1248.0,1168.0,1008.0
189,1168.0,1328.0,1168.0,1248.0,1328.0,1248.0,1088.0,1248.0,1248.0
190,1248.0,1408.0,1088.0,1248.0,1408.0,1248.0,1168.0,1328.0,1248.0
191,1248.0,1328.0,1248.0,1328.0,1408.0,1248.0,1088.0,1168.0,1248.0
192,1248.0,1488.0,1088.0,1328.0,1408.0,1168.0,1168.0,1248.0,1248.0
193,1168.0,1408.0,1248.0,1168.0,1328.0,1168.0,1328.0,1168.0,1328.0
194,1168.0,1328.0,1248.0,1088.0,1328.0,1328.0,1168.0,1248.0,1168.0
195,1248.0,1328.0,1248.0,1248.0,1328.0,1328.0,1088.0,1008.0,1248.0
196,1248.0,1328.0,1088.0,1248.0,1328.0,1328.0,1008.0,1088.0,1248.0
197,1168.0,1328.0,1168.0,1408.0,1248.0,1328.0,1168.0,1008.0,1168.0
198,1248.0,1328.0,1088.0,2480.0,1328.0,1248.0,1088.0,1088.0,1168.0
199,1248.0,1248.0,912.0,2736.0,1408.0,1168.0,1168.0,1168.0,1088.0
200,1248.0,1248.0,912.0,2816.0,1248.0,1168.0,1088.0,1328.0,1168.0
201,1088.0,1248.0,912.0,1744.0,1248.0,1088.0,1008.0,1328.0,1008.0
202,1168.0,1248.0,1088.0,1328.0,1408.0,1168.0,1088.0,1328.0,912.0
203,1008.0,1328.0,1008.0,1248.0,1328.0,1168.0,1088.0,1328.0,1248.0
204,1088.0,1328.0,1088.0,1248.0,1408.0,1088.0,1008.0,1328.0,1088.0
205,1168.0,1328.0,1248.0,1248.0,1488.0,1088.0,1088.0,1328.0,1168.0
206,1088.0,1168.0,1248.0,1328.0,1328.0,1168.0,1584.0,1328.0,1168.0
207,1168.0,1248.0,1088.0,1248.0,1488.0,1248.0,1488.0,1248.0,1088.0
208,1488.0,1248.0,1168.0,1168.0,1408.0,1168.0,1168.0,1168.0,1088.0
209,1328.0,1408.0,1248.0,1168.0,1408.0,1248.0,1168.0,1168.0,1088.0
210,1168.0,1328.0,1328.0,1088.0,1248.0,1248.0,1168.0,1248.0,1008.0
211,1088.0,1328.0,1248.0,1168.0,1408.0,1248.0,1168.0,1248.0,1088.0
212,1168.0,1328.0,1248.0,1088.0,1408.0,1168.0,1088.0,1328.0,1088.0
213,1248.0,1248.0,1168.0,1248.0,1328.0,1328.0,1088.0,1248.0,1088.0
214,1248.0,1248.0,1088.0,1248.0,1408.0,1248.0,1088.0,1248.0,1168.0
215,1088.0,1328.0,1088.0,1248.0,1488.0,1328.0,1168.0,1168.0,1088.0
216,1008.0,1328.0,1168.0,1168.0,1408.0,1904.0,1248.0,1248.0,1168.0
217,1088.0,1328.0,1168.0,1008.0,1488.0,2560.0,1248.0,1088.0,1088.0
218,1088.0,1328.0,1168.0,1008.0,1408.0,2640.0,1168.0,1008.0,1248.0
219,1168.0,1328.0,1328.0,1088.0,1408.0,1584.0,1088.0,1088.0,1168.0
220,1008.0,1408.0,1088.0,1168.0,1408.0,1328.0,1248.0,1168.0,1168.0
221,1088.0,1328.0,1008.0,1328.0,1488.0,1328.0,1088.0,1168.0,1168.0
222,1168.0,1328.0,1008.0,1008.0,1488.0,1328.0,1088.0,1088.0,1168.0
223,1088.0,1248.0,1088.0,1168.0,1328.0,1408.0,1008.0,1168.0,1008.0
224,912.0,1328.0,1088.0,1168.0,1328.0,1328.0,1168.0,1088.0,1008.0
225,1088.0,1248.0,1248.0,1168.0,1408.0,1248.0,1088.0,1248.0,912.0
226,1168.0,1408.0,1168.0,1168.0,1328.0,1088.0,1088.0,1168.0,1088.0
227,1088.0,1488.0,1248.0,1088.0,1248.0,1328.0,1088.0,1248.0,1088.0
228,912.0,1328.0,1088.0,1168.0,1488.0,1248.0,1168.0,2160.0,1088.0
229,1088.0,1328.0,1088.0,1168.0,1328.0,1248.0,1168.0,2480.0,1088.0
230,1168.0,1248.0,1008.0,1328.0,1328.0,1088.0,1088.0,2816.0,1088.0
231,1008.0,1328.0,1248.0,1248.0,1328.0,1168.0,1008.0,1904.0,1168.0
232,1008.0,1168.0,1088.0,1248.0,1328.0,1328.0,1088.0,1328.0,1088.0
233,1088.0,1168.0,1168.0,1328.0,1328.0,1328.0,1088.0,1328.0,1168.0
234,1248.0,1248.0,1168.0,1408.0,1168.0,1168.0,1088.0,1328.0,1168.0
235,1248.0,1168.0,1168.0,1408.0,1248.0,1168.0,1168.0,1248.0,1168.0
236,1168.0,1408.0,1008.0,1408.0,1248.0,1168.0,1088.0,1248.0,1248.0
237,1328.0,1248.0,1248.0,1168.0,1328.0,1248.0,1008.0,1168.0,1328.0
238,1248.0,1328.0,1168.0,1168.0,1248.0,1088.0,1088.0,1088.0,1168.0
239,1168.0,1248.0,1088.0,1248.0,1248.0,1168.0,1168.0,1168.0,1168.0
240,1088.0,1248.0,1088.0,1168.0,1408.0,1168.0,1088.0,1248.0,1168.0
241,1088.0,1248.0,1248.0,1168.0,1408.0,1168.0,1088.0,1248.0,1168.0
242,1248.0,1328.0,1168.0,1248.0,1488.0,1248.0,1248.0,1168.0,1088.0
243,1248.0,1328.0,1008.0,1168.0,1408.0,1328.0,1168.0,1168.0,1088.0
244,1248.0,1248.0,1168.0,1328.0,1248.0,1248.0,1088.0,1248.0,1168.0
245,1248.0,1328.0,1248.0,1168.0,1408.0,1248.0,1168.0,1248.0,1248.0
246,1248.0,1328.0,1248.0,1168.0,1328.0,1328.0,1168.0,1248.0,1248.0
247,1248.0,1248.0,1088.0,1088.0,1328.0,1248.0,1168.0,1248.0,1168.0
248,1408.0,1328.0,1248.0,1088.0,1248.0,1168.0,1088.0,1248.0,1008.0
249,1408.0,1248.0,1248.0,1168.0,1328.0,1248.0,1168.0,1248.0,1248.0
250,1408.0,1328.0,1328.0,1088.0,1248.0,1248.0,1088.0,1168.0,1088.0
251,1328.0,1168.0,1248.0,1088.0,1328.0,1248.0,1248.0,1168.0,1328.0
252,1328.0,1248.0,1248.0,1248.0,1248.0,1248.0,1168.0,1248.0,1248.0
253,2160.0,1248.0,1008.0,1248.0,1328.0,1248.0,1248.0,1088.0,1168.0
254,2560.0,1408.0,1248.0,1088.0,1328.0,1248.0,1408.0,1008.0,1248.0
255,3056.0,1328.0,1008.0,1168.0,1248.0,1248.0,2320.0,1088.0,1168.0
256,1904.0,1408.0,1008.0,1088.0,1248.0,1248.0,2736.0,1248.0,1088.0
257,1584.0,1408.0,1088.0,1168.0,1248.0,1248.0,2640.0,1248.0,1248.0
258,1328.0,1328.0,1088.0,1168.0,1328.0,1408.0,1408.0,1168.0,1248.0
259,1168.0,1328.0,1008.0,1168.0,1248.0,1408.0,1248.0,1168.0,1168.0
260,1248.0,1328.0,1088.0,1584.0,1328.0,1408.0,1168.0,1248.0,912.0
261,1088.0,1248.0,1168.0,1408.0,1168.0,1328.0,1088.0,1248.0,912.0
262,1008.0,1328.0,1008.0,1248.0,1328.0,1248.0,1088.0,1328.0,1008.0
263,1008.0,1248.0,1488.0,1328.0,1408.0,1248.0,1088.0,1168.0,1408.0
264,1168.0,1408.0,1408.0,1328.0,1408.0,1248.0,1088.0,1248.0,2160.0
265,1168.0,1408.0,1328.0,1168.0,1408.0,1168.0,912.0,1168.0,2640.0
266,1088.0,1408.0,1168.0,1168.0,1488.0,1328.0,1088.0,1088.0,1904.0
267,1088.0,1408.0,1168.0,1088.0,1408.0,1328.0,1088.0,1008.0,1168.0
268,1168.0,1408.0,1008.0,1008.0,1328.0,1328.0,1088.0,1168.0,1168.0
269,1248.0,1408.0,1248.0,1168.0,1328.0,1248.0,1088.0,1168.0,1168.0
270,1328.0,1408.0,1168.0,1248.0,1328.0,1248.0,1168.0,1248.0,1168.0
271,1248.0,1408.0,1168.0,1328.0,1328.0,1168.0,1168.0,1328.0,1008.0
272,1168.0,1328.0,1328.0,1328.0,1328.0,1248.0,1088.0,1408.0,1168.0
273,1168.0,1328.0,1248.0,1328.0,1488.0,1168.0,1088.0,1328.0,1248.0
274,1168.0,1328.0,1328.0,1248.0,1248.0,1088.0,1168.0,1248.0,1328.0
